ID (DOKUNMAYIN),Kategori,Ürün Adı,Boyut (S/M/L veya Standart),Mevcut Reçete Durumu,Hammadde 1,Miktar 1,Hammadde 2,Miktar 2,Hammadde 3,Miktar 3,Hammadde 4,Miktar 4,Hammadde 5,Miktar 5
54,Matchalar,Matcha Latte,Medium,YOK,,,,,,,,,,
54,Matchalar,Matcha Latte,Large,YOK,,,,,,,,,,
53,Matchalar,Çilekli Matcha Latte,Small,YOK,,,,,,,,,, 
53,Matchalar,Çilekli Matcha Latte,Medium,YOK,,,,,,,,,,
53,Matchalar,Çilekli Matcha Latte,Large,YOK,,,,,,,,,,
104,Meşrubatlar,Coca Cola,Standart,VAR,Coca Cola,1,,,,,,,,
105,Meşrubatlar,Kola Turka,Standart,VAR,Coca Cola,1,,,,,,,,
108,Meşrubatlar,Limonlu Soda,Standart,VAR,Limonlu Soda,1,,,,,,,,
107,Meşrubatlar,Sade Soda,Standart,VAR,Sade Soda,1,,,,,,,,
106,Meşrubatlar,Su,Standart,VAR,Su,1,,,,,,,,
40,Milkshake,Banana Milkshake,Small,YOK,,,,,,,,,,
40,Milkshake,Banana Milkshake,Medium,YOK,,,,,,,,,,
40,Milkshake,Banana Milkshake,Large,YOK,,,,,,,,,,
38,Milkshake,Chocolate Milkshake,Small,YOK,,,,,,,,,,
38,Milkshake,Chocolate Milkshake,Medium,YOK,,,,,,,,,,
38,Milkshake,Chocolate Milkshake,Large,YOK,,,,,,,,,,
39,Milkshake,Strawberry Milkshake,Small,YOK,,,,,,,,,,
39,Milkshake,Strawberry Milkshake,Medium,YOK,,,,,,,,,,
39,Milkshake,Strawberry Milkshake,Large,YOK,,,,,,,,,,
41,Milkshake,Vanilla Milkshake,Small,VAR,Toz: Vanilya,40,Normal Süt,170,,,,,,
41,Milkshake,Vanilla Milkshake,Medium,YOK,,,,,,,,,,
41,Milkshake,Vanilla Milkshake,Large,YOK,,,,,,,,,,
88,Püreler,Antep Fıstığı Püresi,Standart,YOK,,,,,,,,,,
87,Püreler,Biscoff Püresi,Standart,YOK,,,,,,,,,,
85,Püreler,Mango Püresi,Standart,YOK,,,,,,,,,,
86,Püreler,Muz Püresi,Standart,YOK,,,,,,,,,,
84,Püreler,Çilek Püresi,Standart,YOK,,,,,,,,,,
81,Soslar,Beyaz Çikolata Sos,Standart,YOK,,,,,,,,,,
80,Soslar,Karamel Sos,Standart,YOK,,,,,,,,,,
83,Soslar,Salted Karamel Sos,Standart,YOK,,,,,,,,,,
82,Soslar,Çikolata Sos,Standart,YOK,,,,,,,,,,
13,Soğuk Kahveler,Cold Brew,Small,YOK,,,,,,,,,,
13,Soğuk Kahveler,Cold Brew,Medium,YOK,,,,,,,,,,
13,Soğuk Kahveler,Cold Brew,Large,YOK,,,,,,,,,,
1,Soğuk Kahveler,Iced Americano,Small,YOK,,,,,,,,,,
1,Soğuk Kahveler,Iced Americano,Medium,YOK,,,,,,,,,,
1,Soğuk Kahveler,Iced Americano,Large,YOK,,,,,,,,,,
9,Soğuk Kahveler,Iced Cappuccino,Small,YOK,,,,,,,,,,
9,Soğuk Kahveler,Iced Cappuccino,Medium,YOK,,,,,,,,,,
9,Soğuk Kahveler,Iced Cappuccino,Large,YOK,,,,,,,,,,
4,Soğuk Kahveler,Iced Caramel Latte,Small,YOK,,,,,,,,,,
4,Soğuk Kahveler,Iced Caramel Latte,Medium,YOK,,,,,,,,,,
4,Soğuk Kahveler,Iced Caramel Latte,Large,YOK,,,,,,,,,,
8,Soğuk Kahveler,Iced Caramel Macchiato,Small,YOK,,,,,,,,,,
8,Soğuk Kahveler,Iced Caramel Macchiato,Medium,YOK,,,,,,,,,,
8,Soğuk Kahveler,Iced Caramel Macchiato,Large,YOK,,,,,,,,,,
10,Soğuk Kahveler,Iced Chai Tea Latte,Small,YOK,,,,,,,,,,
